ChainedFMAs,VectorWidth,AvgGFLOPs,MaxGFLOPs,AvgTime,MaxTime,AvgGFLOPSPerSec,MaxGFLOPSPerSec,Processes
1,8,16,16,1.30122,1.30268,12.2961,12.3016,48
3,8,48,48,4.27798,4.28295,11.2203,11.2238,48
2,8,32,32,4.2608,4.28697,7.51038,7.55673,48
4,8,64,64,4.29673,4.30246,14.8951,14.911,48
5,8,80,80,4.26998,4.27488,18.7354,18.7397,48
6,8,96,96,4.26837,4.27332,22.491,22.4956,48
7,8,112,112,4.28373,4.28846,26.1454,26.1604,48
8,8,128,128,4.72595,4.7324,27.0845,27.0948,48
9,8,144,144,5.25261,5.26009,27.415,27.4302,48
10,8,160,160,6.09966,6.1075,26.231,26.2394,48
11,8,176,176,6.89176,6.89941,25.5378,25.5472,48
12,8,192,192,7.78659,7.7967,24.6578,24.6677,48
13,8,208,208,8.79527,8.80672,23.6491,23.6567,48
14,8,224,224,9.7887,9.79897,22.8835,22.8941,48
15,8,240,240,10.5648,10.5794,22.7169,22.7257,48
16,8,256,256,11.1625,11.1766,22.9339,22.9386,48
17,8,272,272,11.9533,11.9673,22.7552,22.7633,48
18,8,288,288,12.5164,12.5317,23.0099,23.0159,48
19,8,304,304,13.0624,13.0783,23.273,23.282,48
20,8,320,320,13.7021,13.7361,23.3541,23.3621,48
21,8,336,336,14.2752,14.2921,23.5374,23.547,48
22,8,352,352,14.998,15.0165,23.4698,23.4764,48
23,8,368,368,15.779,15.7978,23.3222,23.3307,48
24,8,384,384,16.3939,16.4139,23.4234,23.4333,48
25,8,400,400,16.8502,16.8731,23.7386,23.7502,48
26,8,416,416,17.2534,17.2756,24.1112,24.1242,48
27,8,432,432,17.8125,17.8345,24.2526,24.2625,48
28,8,448,448,18.3384,18.364,24.4296,24.4413,48
29,8,464,464,18.8397,18.8619,24.6288,24.6405,48
30,8,480,480,19.8599,19.8866,24.1693,24.1774,48
31,8,496,496,20.3901,20.414,24.3255,24.3342,48
32,8,512,512,21.0414,21.0684,24.333,24.3401,48
33,8,528,528,21.5204,21.5479,24.5348,24.546,48
34,8,544,544,22.1577,22.1924,24.5512,24.5633,48
35,8,560,560,22.7751,22.8119,24.5883,24.6024,48
1,4,8,8,1.12021,1.12139,7.14152,7.14374,48
3,4,24,24,3.87939,3.88409,6.18653,6.18796,48
5,4,40,40,3.879,3.88426,10.3119,10.3152,48
4,4,32,32,3.88111,3.8858,8.24506,8.24946,48
2,4,16,16,3.91866,3.92426,4.08303,4.08528,48
7,4,56,56,3.87839,3.88254,14.439,14.4446,48
6,4,48,48,3.87954,3.88346,12.3726,12.3777,48
8,4,64,64,3.89193,3.897,16.4443,16.4519,48
9,4,72,72,4.04174,4.04633,17.8141,17.8231,48
10,4,80,80,4.24666,4.25146,18.8383,18.8452,48
11,4,88,88,4.65393,4.6591,18.9087,18.9143,48
12,4,96,96,5.07472,5.08041,18.9173,18.923,48
13,4,104,104,5.60231,5.60921,18.5638,18.5683,48
14,4,112,112,5.97753,5.98422,18.7368,18.7446,48
15,4,120,120,6.32958,6.33656,18.9586,18.9684,48
16,4,128,128,6.7123,6.7174,19.0695,19.0787,48
17,4,136,136,7.22668,7.23558,18.8192,18.824,48
18,4,144,144,7.6347,7.64337,18.8612,18.8673,48
19,4,152,152,8.07129,8.07998,18.8322,18.8405,48
