ChainedFMAs,VectorWidth,AvgGFLOPs,MaxGFLOPs,AvgTime,MaxTime,AvgGFLOPSPerSec,MaxGFLOPSPerSec,Processes
2,8,32,32,1.22219,1.22394,26.1825,26.1909,36
1,8,16,16,1.22267,1.22709,13.0861,13.0944,36
4,8,64,64,1.49503,1.49656,42.8085,42.8256,36
7,8,112,112,1.49457,1.49767,74.938,74.9716,36
5,8,80,80,1.49509,1.49958,53.5085,53.5383,36
6,8,96,96,1.49452,1.4975,64.2349,64.2662,36
3,8,48,48,1.49502,1.49696,32.1065,32.1237,36
8,8,128,128,1.49515,1.49895,85.6102,85.6555,36
11,8,176,176,2.05564,2.05815,85.6181,85.6642,36
9,8,144,144,1.68184,1.68368,85.6205,85.6666,36
12,8,192,192,2.24169,2.24529,85.6496,85.6874,36
10,8,160,160,1.8686,1.87111,85.6258,85.6642,36
13,8,208,208,2.42909,2.43321,85.6288,85.6798,36
14,8,224,224,2.61507,2.62056,85.6575,85.6855,36
16,8,256,256,2.98879,2.99688,85.6533,85.7018,36
15,8,240,240,2.80189,2.80734,85.6565,85.7072,36
18,8,288,288,3.36219,3.36529,85.6585,85.7034,36
17,8,272,272,3.17562,3.18302,85.6526,85.694,36
19,8,304,304,3.54805,3.554,85.681,85.7096,36
20,8,320,320,3.73605,3.74066,85.652,85.6922,36
21,8,336,336,3.9232,3.92586,85.6443,85.6869,36
22,8,352,352,4.10878,4.11385,85.6702,85.7158,36
24,8,384,384,4.48266,4.49049,85.6634,85.6997,36
25,8,400,400,4.66925,4.67891,85.6669,85.7107,36
23,8,368,368,4.29565,4.3038,85.6682,85.6978,36
26,8,416,416,4.85769,4.86377,85.6374,85.6816,36
27,8,432,432,5.04273,5.04783,85.6679,85.7153,36
28,8,448,448,5.22856,5.23685,85.6832,85.7238,36
29,8,464,464,5.41748,5.43532,85.6487,85.6985,36
30,8,480,480,5.60415,5.62226,85.6509,85.6891,36
31,8,496,496,6.05419,6.07052,81.9267,81.967,36
32,8,512,512,6.52277,6.87762,78.5006,78.7142,36
33,8,528,528,6.47708,7.07562,81.5367,81.8029,36
35,8,560,560,7.78116,7.79925,71.9688,72.3857,36
34,8,544,544,6.90629,7.91615,78.8137,79.2211,36
2,4,16,16,1.22249,1.22455,13.088,13.0933,36
1,4,8,8,1.22282,1.22582,6.54226,6.54738,36
4,4,32,32,1.4951,1.50114,21.4032,21.4165,36
6,4,48,48,1.49485,1.4964,32.1102,32.126,36
3,4,24,24,1.4949,1.49815,16.0546,16.0622,36
5,4,40,40,1.49552,1.50002,26.7465,26.7638,36
7,4,56,56,1.49484,1.49748,37.4621,37.4781,36
8,4,64,64,1.495,1.49993,42.8094,42.8346,36
10,4,80,80,1.86798,1.86998,42.8269,42.843,36
11,4,88,88,2.05549,2.05711,42.8122,42.838,36
9,4,72,72,1.68156,1.68727,42.8175,42.8381,36
12,4,96,96,2.24154,2.24421,42.8276,42.8461,36
13,4,104,104,2.42884,2.43135,42.8187,42.8404,36
14,4,112,112,2.61506,2.61788,42.8289,42.8451,36
15,4,120,120,2.80241,2.80615,42.8204,42.8434,36
16,4,128,128,2.98838,2.99106,42.8326,42.8501,36
17,4,136,136,3.17564,3.1795,42.826,42.8477,36
18,4,144,144,3.36255,3.36662,42.8247,42.8535,36
19,4,152,152,3.54912,3.55315,42.8275,42.8491,36
20,4,160,160,3.73556,3.73856,42.8316,42.8511,36
21,4,168,168,3.922,3.93215,42.8353,42.8547,36
22,4,176,176,4.11042,4.1325,42.8181,42.8468,36
23,4,184,184,4.29681,4.31572,42.8225,42.8432,36
24,4,192,192,4.48375,4.50205,42.8213,42.8464,36
25,4,200,200,4.66927,4.6767,42.8332,42.8506,36
26,4,208,208,4.8564,4.86477,42.8301,42.8491,36
27,4,216,216,5.04323,5.05104,42.8297,42.8474,36
28,4,224,224,5.22956,5.23463,42.8334,42.8523,36
29,4,232,232,5.41647,5.42367,42.8323,42.851,36
30,4,240,240,5.60237,5.60906,42.839,42.856,36
31,4,248,248,6.05358,6.06015,40.9675,40.9864,36
33,4,264,264,6.45769,6.47056,40.8815,40.8986,36
32,4,256,256,6.29708,6.77939,40.6601,40.765,36
35,4,280,280,6.92315,6.92997,40.444,40.4607,36
34,4,272,272,6.76863,7.62858,40.2212,40.588,36
1,8,16,16,1.22213,1.22355,13.0919,13.0976,36
2,8,32,32,1.22227,1.2248,26.1809,26.1943,36
3,8,48,48,1.49477,1.49745,32.1119,32.1269,36
5,8,80,80,1.49504,1.49812,53.5105,53.5404,36
4,8,64,64,1.49499,1.49902,42.8097,42.838,36
6,8,96,96,1.4948,1.49776,64.2226,64.265,36
7,8,112,112,1.49437,1.49556,74.9482,74.9882,36
8,8,128,128,1.49483,1.49685,85.6286,85.6655,36
9,8,144,144,1.68152,1.68299,85.6366,85.6779,36
10,8,160,160,1.86836,1.87292,85.6366,85.6854,36
11,8,176,176,2.05539,2.05778,85.6284,85.6689,36
12,8,192,192,2.24247,2.24802,85.6199,85.6562,36
13,8,208,208,2.42861,2.43165,85.6456,85.6916,36
14,8,224,224,2.61534,2.61791,85.6485,85.6822,36
15,8,240,240,2.80187,2.80797,85.657,85.709,36
17,8,272,272,3.17553,3.19892,85.6552,85.7007,36
16,8,256,256,2.98808,2.99157,85.6737,85.7111,36
18,8,288,288,3.36185,3.36529,85.6672,85.7062,36
19,8,304,304,3.54859,3.55265,85.6679,85.705,36
20,8,320,320,3.73531,3.7402,85.6691,85.7016,36
21,8,336,336,3.92183,3.9265,85.6742,85.7118,36
22,8,352,352,4.11042,4.11389,85.6359,85.6713,36
23,8,368,368,4.29594,4.30333,85.6623,85.6917,36
24,8,384,384,4.48278,4.48707,85.6611,85.6885,36
25,8,400,400,4.66892,4.67434,85.6729,85.7225,36
27,8,432,432,5.04376,5.06347,85.6505,85.7022,36
28,8,448,448,5.23008,5.23606,85.6583,85.6966,36
26,8,416,416,4.85608,4.86359,85.6657,85.7136,36
29,8,464,464,5.4156,5.42235,85.6783,85.7165,36
30,8,480,480,5.60281,5.60852,85.6713,85.7055,36
31,8,496,496,6.0817,6.40736,81.5764,81.9843,36
