Size,AvgTime,AvgBandwidth,Processes
4096,2.64962e-06,1.55147e+10,48
2048,1.35333e-06,1.64776e+10,48
16384,1.0177e-05,1.65308e+10,48
1024,7.98667e-07,1.31584e+10,48
8192,5.09056e-06,1.64853e+10,48
32768,1.81745e-05,2.07916e+10,48
65536,3.60759e-05,2.00178e+10,48
262144,4.38079e-05,6.07849e+10,48
131072,3.41198e-05,4.08642e+10,48
524288,9.96765e-05,5.44697e+10,48
2097152,0.00161092,1.30203e+10,48
1048576,0.000234998,4.49256e+10,48
4194304,0.00575089,7.30365e+09,48
8388608,0.0148568,5.64846e+09,48
16777216,0.0323744,5.18266e+09,48
33554432,0.0669063,5.01549e+09,48
67108864,0.135456,4.95446e+09,48
134217728,0.273358,4.91006e+09,48
268435456,0.546361,4.91324e+09,48
536870912,1.09327,4.91077e+09,48
1073741824,2.19144,4.89976e+09,48
