Size,AvgTime,AvgBandwidth,Processes
1,3.51111e-08,3.47797e+07,36
1,3.61722e-08,3.36172e+07,36
1,3.54028e-08,3.44538e+07,36
1,3.61861e-08,3.35307e+07,36
1,3.60694e-08,3.36365e+07,36
1,3.57194e-08,3.40661e+07,36
2,3.71042e-08,6.5363e+07,48
2,3.81688e-08,6.37836e+07,48
2,3.77e-08,6.43699e+07,48
2,3.81021e-08,6.37076e+07,48
2,3.65063e-08,6.68765e+07,48
1,3.57056e-08,3.40628e+07,36
1,3.60917e-08,3.36802e+07,36
2,3.71917e-08,6.5235e+07,48
1,3.65e-08,3.33898e+07,36
2,3.68271e-08,6.59577e+07,48
2,3.69604e-08,6.56774e+07,48
1,3.62306e-08,3.34996e+07,36
2,3.75229e-08,6.47007e+07,48
1,3.58139e-08,3.39176e+07,36
1,3.6025e-08,3.36761e+07,36
2,3.75229e-08,6.53414e+07,48
1,3.56556e-08,3.4194e+07,36
