Operation,Size,Bandwidth_MBS,AvgTime,MinTime,MaxTime,DataType
Copy,1.28e+08,190102,0.000788512,0.000673323,0.00167726,4
Scale,1.28e+08,166697,0.000788586,0.000767861,0.000849094,4
Add,1.92e+08,179629,0.00109701,0.00106887,0.00128947,4
Triad,1.92e+08,181484,0.00107365,0.00105794,0.00116374,4
Copy,1.6e+08,171666,0.000949454,0.000932043,0.000991427,4
Scale,1.6e+08,153987,0.00105146,0.00103905,0.00111116,4
Add,2.4e+08,171342,0.00142224,0.00140071,0.00147978,4
Triad,2.4e+08,170327,0.00142441,0.00140906,0.00144447,4
Copy,2e+08,161045,0.00127686,0.00124189,0.00132933,4
Scale,2e+08,144958,0.00140341,0.00137971,0.00148386,4
Add,3e+08,163808,0.00186979,0.00183141,0.00199829,4
Triad,3e+08,161870,0.00204619,0.00185334,0.00500166,4
Copy,2.4e+08,149647,0.00162051,0.00160377,0.00164893,4
Scale,2.4e+08,141197,0.00171367,0.00169975,0.00174477,4
Add,3.6e+08,157448,0.0023154,0.00228647,0.00250284,4
Triad,3.6e+08,157477,0.00230756,0.00228605,0.00245514,4
Copy,2.56e+08,150239,0.00173235,0.00170396,0.00193674,4
Scale,2.56e+08,140520,0.00184054,0.00182181,0.00193898,4
Add,3.84e+08,158779,0.00243936,0.00241846,0.00248711,4
Triad,3.84e+08,157033,0.00248485,0.00244534,0.0027164,4
Copy,2.8e+08,148344,0.00190398,0.0018875,0.0019335,4
Scale,2.8e+08,138789,0.00203416,0.00201744,0.00216466,4
Add,4.2e+08,156294,0.00270467,0.00268724,0.00276537,4
Triad,4.2e+08,156474,0.00270249,0.00268415,0.0027211,4
Copy,3.6e+08,143946,0.00252484,0.00250094,0.00259174,4
Scale,3.6e+08,136125,0.00266741,0.00264463,0.00283983,4
Add,5.4e+08,153833,0.00352841,0.0035103,0.00354964,4
Triad,5.4e+08,152883,0.00357964,0.0035321,0.00384246,4
Copy,3.2e+08,145977,0.00220934,0.00219212,0.00224953,4
