
# OSU MPI Allreduce Latency Test v5.3
# Size       Avg Latency(us)
4                       2.87
8                       2.69
16                      2.72
32                      3.68
64                      4.29
128                     5.09
256                     5.02
512                     5.92
1024                    8.73
2048                   11.91
4096                   19.66
8192                   34.90
16384                 111.26
32768                 215.17
65536                 232.65
131072                409.66
262144                773.63
524288               1603.35
1048576              3481.66
