
# OSU MPI Broadcast Latency Test v5.3
# Size       Avg Latency(us)
1                       2.27
2                       2.37
4                       2.30
8                       2.27
16                      2.29
32                      2.38
64                      2.59
128                     2.83
256                     3.35
512                     3.54
1024                    3.99
2048                    5.68
4096                    6.81
8192                    9.12
16384                  13.78
32768                  20.52
65536                  33.88
131072                 61.05
262144                113.81
524288                129.09
1048576               255.75
