ChainedFMAs,VectorWidth,GFLOPs,Time,GFLOPSPerSec
2,8,1536,1.303,1178.82
1,8,768,1.30314,589.346
3,8,2304,1.55374,1482.87
4,8,3072,1.55327,1977.76
5,8,3840,1.59063,2414.14
8,8,6144,1.55339,3955.21
6,8,4608,1.55331,2966.57
7,8,5376,1.63178,3294.57
9,8,6912,1.74698,3956.55
10,8,7680,1.94058,3957.57
11,8,8448,2.13409,3958.59
12,8,9216,2.32989,3955.55
13,8,9984,2.52212,3958.57
14,8,10752,2.71668,3957.77
15,8,11520,2.91093,3957.49
16,8,12288,3.10252,3960.65
17,8,13056,3.29823,3958.49
18,8,13824,3.49314,3957.47
19,8,14592,3.68537,3959.44
20,8,15360,3.87902,3959.77
21,8,16128,4.07488,3957.91
22,8,16896,4.26858,3958.22
23,8,17664,4.46146,3959.24
24,8,18432,4.65636,3958.46
25,8,19200,4.84939,3959.26
