ChainedFMAs,VectorWidth,GFLOPs,Time,GFLOPSPerSec
1,4,288,1.09213,263.706
2,4,576,1.2232,470.897
4,4,1152,1.49489,770.625
3,4,864,1.49564,577.681
5,4,1440,1.49567,962.78
6,4,1728,1.49531,1155.62
8,4,2304,1.49683,1539.25
7,4,2016,1.49663,1347.03
9,4,2592,1.68482,1538.44
10,4,2880,1.87024,1539.91
11,4,3168,2.0557,1541.08
12,4,3456,2.24247,1541.16
13,4,3744,2.42973,1540.91
14,4,4032,2.61596,1541.31
15,4,4320,2.80359,1540.88
16,4,4608,2.99018,1541.04
17,4,4896,3.17646,1541.34
18,4,5184,3.36211,1541.89
19,4,5472,3.5506,1541.15
20,4,5760,3.73879,1540.6
21,4,6048,3.92276,1541.77
22,4,6336,4.1109,1541.27
23,4,6624,4.3133,1535.72
24,4,6912,4.48542,1540.99
25,4,7200,4.68238,1537.68
26,4,7488,4.858,1541.38
27,4,7776,5.04404,1541.62
28,4,8064,5.2319,1541.31
29,4,8352,5.41759,1541.65
30,4,8640,5.6044,1541.64
1,8,576,1.22595,469.839
31,4,8928,6.05398,1474.73
32,4,9216,6.28887,1465.45
33,4,9504,6.45892,1471.45
34,4,9792,6.78329,1443.55
35,4,10080,7.08016,1423.7
2,8,1152,1.23913,929.688
3,8,1728,1.49548,1155.48
5,8,2880,1.49511,1926.28
4,8,2304,1.4969,1539.19
6,8,3456,1.49649,2309.41
7,8,4032,1.49597,2695.25
8,8,4608,1.49545,3081.34
9,8,5184,1.68229,3081.51
10,8,5760,1.86924,3081.47
11,8,6336,2.05543,3082.56
12,8,6912,2.24378,3080.52
13,8,7488,2.42912,3082.6
14,8,8064,2.61563,3083
15,8,8640,2.80285,3082.57
16,8,9216,2.98914,3083.17
17,8,9792,3.17635,3082.79
18,8,10368,3.36322,3082.76
19,8,10944,3.54949,3083.26
20,8,11520,3.73664,3082.98
21,8,12096,3.9238,3082.73
22,8,12672,4.11134,3082.21
23,8,13248,4.29909,3081.58
24,8,13824,4.48509,3082.21
25,8,14400,4.67063,3083.1
26,8,14976,4.85719,3083.26
27,8,15552,5.04471,3082.83
28,8,16128,5.23028,3083.58
29,8,16704,5.4174,3083.4
